没有	27385
知道	10935
看见	8011
开始	7329
不能	6822
还有	6451
看到	6243
不会	5717
起来	5257
成为	4967
需要	4547
坐在	4191
死亡	4185
出来	4156
喜欢	4113
可能	4100
变成	4072
等待	3829
想起	3648
继续	3278
离开	3235
留下	3226
打开	3206
穿过	3155
回到	3145
存在	3145
发现	3076
呼吸	3057
告诉	2890
看着	2857
不到	2809
相信	2742
回来	2727
直到	2651
只能	2608
是否	2594
寻找	2573
听到	2568
来自	2514
出现	2478
醒来	2425
不知	2410
活着	2407
进入	2402
希望	2389
失去	2375
走过	2359
听见	2339
说话	2329
应该	2294
感到	2287
好像	2209
找到	2125
觉得	2121
来到	2120
像是	2079
变得	1984
燃烧	1977
发出	1976
死去	1970
属于	1956
记得	1948
忘记	1888
看不见	1866
面对	1851
发生	1828
欲望	1784
行走	1782
剩下	1779
能够	1757
想到	1721
不想	1703
才能	1686
忧伤	1679
渴望	1679
奔跑	1628
选择	1622
遗忘	1612
不可	1558
透明	1557
认识	1550
回忆	1538
熟悉	1526
走进	1512
准备	1505
升起	1500
作为	1490
比如	1487
愿意	1484
拥有	1478
哭泣	1467
拒绝	1447
带来	1437
说出	1397
落下	1388
不见	1384
拥抱	1378
绝望	1373
闪电	1356
不了	1329
虚无	1311
走向	1310
结束	1308
完成	1295
得到	1278
旋转	1256
覆盖	1243
睡眠	1242
风吹	1240
改变	1239
看看	1236
无限	1235
肯定	1232
保持	1201
有着	1194
抵达	1187
穿越	1181
走出	1175
梦见	1160
写下	1144
露出	1143
接受	1135
叹息	1105
离去	1096
反复	1094
放弃	1087
接近	1083
抚摸	1079
闪烁	1057
停止	1056
犹如	1045
带走	1036
照亮	1034
伸出	1029
转身	1028
回头	1023
遇见	1023
期待	1020
颤抖	1014
流淌	1012
放在	1011
决定	1009
点燃	1009
理解	1006
位置	1003
不用	999
往事	999
跟着	999
诞生	980
遇到	979
害怕	970
怀疑	965
路过	946
远离	942
留在	936
相遇	928
传来	918
倾听	912
放下	904
足够	903
担心	902
开放	895
懂得	895
盛开	891
感受	886
到达	885
穿着	884
想着	880
显得	877
见到	876
降临	870
淹没	869
怀抱	867
愤怒	867
靠近	867
来临	866
睡着	866
获得	863
熄灭	862
想要	860
仰望	858
坚持	858
包括	848
走来	847
起伏	837
出去	836
挣扎	833
隐藏	829
沉睡	823
出生	821
破碎	819
心跳	816
注视	815
出门	813
试图	808
鸟鸣	806
便是	801
坠落	799
允许	797
回去	797
抬头	796
不够	794
祈祷	786
飞过	784
归来	783
站立	781
安慰	780
适合	780
来不及	779
绽放	777
上升	765
弯曲	763
告别	761
举起	752
掠过	750
不住	747
展开	746
返回	739
追逐	737
露水	737
倾斜	736
回答	735
抓住	732
透过	727
进来	726
正如	725
徘徊	723
停留	722
怀念	719
邻居	716
制造	714
思考	714
注定	712
枯萎	711
咳嗽	706
生存	703
喝酒	695
晃动	694
学习	693
记住	688
出发	681
表达	679
触摸	679
创造	675
下雨	674
失败	671
推开	667
轮回	667
陷入	663
失眠	659
用来	657
静止	657
可爱	656
睡觉	655
弥漫	652
喧嚣	650
无关	650
照耀	646
阅读	645
进去	644
埋葬	643
进行	643
认为	641
成长	639
留给	639
坐下	638
凝视	637
响起	632
摇曳	631
享受	630
尖叫	626
愿望	624
起身	618
跳跃	616
看不到	615
唤醒	613
拥挤	613
汹涌	613
上空	607
注意	607
敞开	606
要求	605
交换	604
交给	604
眺望	603
飞行	602
值得	599
交谈	598
深入	598
解释	594
不肯	591
使用	588
可怜	587
呼喊	587
吃饭	582
饱满	582
迷失	580
无比	579
写作	577
厌倦	577
回声	575
承受	573
毫无	573
穿透	573
形成	570
包裹	567
喘息	566
就让	566
敲打	566
聆听	566
想法	565
诱惑	565
生死	564
转动	562
了解	561
盘旋	558
练习	557
跳舞	557
发芽	555
确定	555
安排	554
实在	554
毁灭	554
足以	553
漂浮	551
上班	548
是从	548
承认	546
延伸	542
漂泊	540
提醒	539
想念	538
满足	538
散落	537
沸腾	530
听说	529
过于	528
荡漾	526
凝固	520
迎接	520
咀嚼	518
裸露	518
呻吟	516
感动	516
构成	516
滚动	516
掏出	512
散发	510
倒下	508
追赶	508
丢失	507
兴奋	507
抛弃	507
提前	506
叫声	503
呈现	503
飘落	503
背着	502
纠缠	501
不让	497
伸手	497
停下来	497
据说	495
描述	494
前进	493
化为	489
收割	489
休息	488
打算	487
走动	487
有没有	486
不该	485
长成	484
分开	483
当作	482
模仿	482
逃离	482
预言	480
错过	479
忍不住	478
抽烟	478
来回	478
还给	478
停下	474
譬如	472
送给	472
折断	471
看清	471
穿梭	471
释放	471
呐喊	469
流出	469
再见	468
召唤	468
不出	466
在于	465
奇怪	465
等到	465
忍受	464
原始	461
传递	460
度过	460
悬挂	460
收获	460
降落	460
代替	458
做梦	458
感谢	457
诅咒	457
做爱	455
绕过	454
跟随	454
缠绕	451
遍地	451
鸣叫	450
喧哗	447
相爱	447
膨胀	446
关闭	445
无知	445
生锈	445
发光	444
颤栗	442
居住	440
蔓延	438
恋爱	437
逝去	437
打着	436
拯救	435
说起	434
涌动	432
呼啸	429
不止	427
叫做	426
哀伤	426
受伤	425
想想	423
无名	423
撞击	422
照着	421
颤动	421
丧失	420
恢复	420
聚集	419
就算	418
目睹	418
超越	418
干涸	416
吞噬	415
吃掉	414
直至	414
匍匐	413
闪耀	413
好看	411
有如	411
凋零	410
意味着	410
警察	410
抬起	409
沉入	408
沐浴	408
看上去	408
掉落	406
掩埋	406
撕裂	406
背叛	405
堆积	404
包围	403
穿行	403
象征	403
流过	402
装满	402
开出	401
结婚	400
扭曲	399
折磨	399
围着	398
分离	396
拼命	396
当成	394
走近	394
支撑	393
收藏	393
摘下	391
占据	390
游荡	390
翻开	390
忘却	389
给予	389
莫名	388
参加	387
生出	387
不得	385
叫喊	385
溢出	385
独立	385
翻滚	385
看起来	384
未知	381
听不见	380
写出	379
类似	379
点亮	378
窒息	378
入睡	376
等于	376
蜿蜒	376
献给	375
笼罩	375
跌落	375
飞来	375
吸引	373
见证	373
观察	373
下沉	372
触及	372
流血	371
遮住	371
扬起	368
无意	368
伸向	367
欣赏	367
诉说	367
前行	365
摊开	365
暗示	364
落入	364
钻进	363
阻止	363
向下	362
欢喜	362
闻到	362
拉开	361
弯腰	360
挣脱	360
携带	360
不行	359
收拾	358
碰到	358
可惜	357
安详	357
认出	356
走上	355
相思	354
填满	352
划过	351
打湿	351
深陷	351
滑落	351
相似	350
趴在	349
摇摆	348
无需	348
紧闭	348
废弃	347
说明	347
分明	345
停顿	344
孕育	344
化成	343
下雪	342
暴露	342
缄默	342
脱离	341
起床	341
迷恋	340
轰鸣	338
遮蔽	338
从容	337
知识	336
蠕动	336
低垂	335
种植	335
擦拭	334
讨论	334
伫立	333
掌心	333
嘲笑	332
宛如	332
不变	331
喂养	331
焚烧	331
变幻	330
繁殖	330
捕捉	329
取出	326
干枯	326
怜悯	326
失落	325
提起	325
送来	325
放进	324
敲响	324
翻过	324
